Slide #	Image #	Count	Abundance (VLP/g)	Sample mass (g)	Field of view (sq. um)	6581.54
1	1	65	4687091133	0.144	Cover glass	484000000
1	2	64	4614982039		Multiplier 	73539.01974
1	3	70	5047636605		Adjustment for dilution from antifade and dye 	1.412
1	4	79	5696618454		Volume (uL)	10
1	5	78	5624509360			
2	6	52	3749672907			
2	7	92	6634036681			
2	9	65	4687091133			
2	8	56	4038109284			
3	11	54	3893891095			
3	13	63	4542872945			
3	14	53	3821782001			
3	15	96	6922473058			
4	16	67	4831309322			
5	21	57	4110218378		1058230496	
6	26	76	5480291171			
6	27	97	6994582153		ymin	3963955841
	Average 		5022186337		ymax	6080416832
	Stdev		1058230496			
	CV		0.2107111176			
			21.07111176			
