Slide #	Image #	Count	Abundance (VLP/g)	Sample mass (g)	Field of view (sq. um)	6581.54
1	2	86	1626592030	0.549	Cover glass	484000000
1	3	140	2647940514		Multiplier 	73539.01974
1	4	98	1853558360		Adjustment for dilution from antifade and dye 	1.412
1	5	116	2194007855		Volume (uL)	10
2	6	104	1967041525			
2	10	83	1569850448			
3	11	64	1210487092			
3	12	120	2269663298			
3	13	83	1569850448			
3	14	141	2666854375			
4	18	132	2496629628		593675079.3	
4	19	85	1607678169			
4	20	165	3120787035		ymin	1528223681
5	21	85	1607678169		ymax	2715573839
5	24	170	3215356339			
5	25	123	2326404880			
	Average 		2121898760			
	Stdev		593675079.3			
	CV		0.2797848278			
			27.97848278			
